char1Label,char1TypeLabelSample,relationLabel,char2Label,char2TypeLabelSample
Hesperus,Greek deity,sibling,Phosphorus,personification
Philophrosyne,Greek deity,sibling,Eucleia,mythological Greek character
Eucleia,mythological Greek character,sibling,Philophrosyne,Greek deity
Telesphorus,Greek deity,sibling,Aegle,Greek deity
Hygieia,Greek deity,sibling,Aegle,Greek deity
Aceso,mythological Greek character,sibling,Aegle,Greek deity
Panacea,Greek deity,sibling,Aegle,Greek deity
Penia,personification,sibling,Amechania,Greek deity
Amechania,Greek deity,sibling,Penia,personification
Thalia,Greek deity,sibling,Aglaea,Greek deity
Euphrosyne,Greek deity,sibling,Aglaea,Greek deity
Zeus,Olympian god,spouse,Hera,Olympian god
Amphitrite,sea deity,spouse,Poseidon,Olympian god
Persephone,Greek deity,spouse,Hades,Olympian god
Aphrodite,fertility deity,spouse,Hephaestus,Greek deity
Aglaea,Greek deity,spouse,Hephaestus,Greek deity
Hades,Olympian god,spouse,Persephone,Greek deity
Hera,Olympian god,spouse,Zeus,Olympian god
Ares,Greek deity,spouse,Aphrodite,fertility deity
Hephaestus,Greek deity,spouse,Aphrodite,fertility deity
Psyche,mythological Greek character,spouse,Eros,fertility deity
Poseidon,Olympian god,spouse,Amphitrite,sea deity
Pasithea,Greek deity,spouse,Hypnos,Greek deity
Hypnos,Greek deity,spouse,Pasithea,Greek deity
Hephaestus,Greek deity,spouse,Aglaea,Greek deity
