char1Label,char1Type,relationLabel,char2Label,char2Type
Zeuxo,Okeanid,father,Oceanus,titan
Tyche,Okeanid,father,Oceanus,titan
Philyra,Okeanid,father,Oceanus,titan
Merope,Okeanid,father,Oceanus,titan
Pleione,Okeanid,father,Oceanus,titan
Styx,Okeanid,father,Oceanus,titan
Eurynome,Okeanid,father,Oceanus,titan
Asia,Okeanid,father,Oceanus,titan
Peitho,Okeanid,father,Oceanus,titan
Rhodos,Okeanid,father,Oceanus,titan
Argeia,Okeanid,father,Oceanus,titan
Plouto,Okeanid,father,Oceanus,titan
Hesione,Okeanid,father,Oceanus,titan
Doris,Okeanid,father,Oceanus,titan
Beroe,Okeanid,father,Oceanus,titan
Idothea,Okeanid,father,Oceanus,titan
Klytia,Okeanid,father,Oceanus,titan
Polydora,Okeanid,father,Oceanus,titan
Asterope,Okeanid,father,Oceanus,titan
Zeuxippe,Okeanid,father,Oceanus,titan
Chryseis,deity,father,Oceanus,titan
Cisseis,naiad,father,Oceanus,titan
Coryphe,Okeanid,father,Oceanus,titan
Eudore,Okeanid,father,Oceanus,titan
Plexaure,Okeanid,father,Oceanus,titan
Ianire,deity,father,Oceanus,titan
Argie,deity,father,Oceanus,titan
Menestho,deity,father,Oceanus,titan
Melobosis,deity,father,Oceanus,titan
Ianthe,Okeanid,father,Oceanus,titan
Kleio,Okeanid,father,Oceanus,titan
Kretheis,naiad,father,Oceanus,titan
Axius,Potamoi,father,Oceanus,titan
Phyllis,Potamoi,father,Oceanus,titan
Apidanus,Potamoi,father,Oceanus,titan
Ardescus,Potamoi,father,Oceanus,titan
Granicus,Potamoi,father,Oceanus,titan
Chremetes,Potamoi,father,Oceanus,titan
Calypso,Okeanid,father,Nereus,Greek water deities
Amphitrite,Okeanid,father,Nereus,Greek water deities
Beroe,Okeanid,father,Nereus,Greek water deities
Anapos,Potamoi,father,Oceanus,titan
Asopus,Potamoi,father,Oceanus,titan
Crinisus,Potamoi,father,Oceanus,titan
Nilus,Potamoi,father,Oceanus,titan
Inachus,Potamoi,father,Oceanus,titan
Clitumnus,Potamoi,father,Oceanus,titan
Alpheus,Potamoi,father,Oceanus,titan
Enipeus,Potamoi,father,Oceanus,titan
Hermus,Potamoi,father,Oceanus,titan
Chrysas,Potamoi,father,Oceanus,titan
Scamander,Potamoi,father,Oceanus,titan
Eridanos,Potamoi,father,Oceanus,titan
Sangarius,Potamoi,father,Oceanus,titan
Peneus,Potamoi,father,Oceanus,titan
Cebren,Potamoi,father,Oceanus,titan
Caicus,Potamoi,father,Oceanus,titan
Clytie,Okeanid,father,Oceanus,titan
Prymno,Okeanid,father,Oceanus,titan
Callirhoe,Okeanid,father,Oceanus,titan
Orseis,naiad,father,Oceanus,titan
Creusa,naiad,father,Oceanus,titan
Lysithea,Okeanid,father,Oceanus,titan
Telesto,Okeanid,father,Oceanus,titan
Perse,Okeanid,father,Oceanus,titan
Electra,Okeanid,father,Oceanus,titan
Thoe,Okeanid,father,Oceanus,titan
Hippo,Okeanid,father,Oceanus,titan
Amphiro,Okeanid,father,Oceanus,titan
Eidyia,Okeanid,father,Oceanus,titan
Phaeno,Okeanid,father,Oceanus,titan
Xanthe,deity,father,Oceanus,titan
Meliboea,Okeanid,father,Oceanus,titan
Pasithoe,Okeanid,father,Oceanus,titan
Capheira,Okeanid,father,Oceanus,titan
